v_ref (V),irrad (G),temp (C),current (A)
0.2,250.0,20.0,4.57
0.2,250.0,25.0,4.46
0.2,250.0,30.0,4.34
0.2,250.0,35.0,4.23
0.2,250.0,40.0,4.11
0.2,250.0,45.0,4.0
0.2,250.0,50.0,3.89
0.2,250.0,55.0,3.77
0.2,250.0,60.0,3.66
0.2,250.0,65.0,3.54
0.2,250.0,70.0,3.43
0.2,250.0,75.0,3.32
0.2,250.0,80.0,3.2
0.2,300.0,0.001,5.09
0.2,300.0,5.0,4.98
0.2,300.0,10.0,4.86
0.2,300.0,15.0,4.75
0.2,300.0,20.0,4.63
0.2,300.0,25.0,4.52
0.2,300.0,30.0,4.41
0.2,300.0,35.0,4.29
0.2,300.0,40.0,4.18
0.2,300.0,45.0,4.06
0.2,300.0,50.0,3.95
0.2,300.0,55.0,3.84
0.2,300.0,60.0,3.72
0.2,300.0,65.0,3.61
0.2,300.0,70.0,3.49
0.2,300.0,75.0,3.38
0.2,300.0,80.0,3.27
0.2,350.0,0.001,5.14
0.2,350.0,5.0,5.02
0.2,350.0,10.0,4.91
0.2,350.0,15.0,4.8
0.2,350.0,20.0,4.68
0.2,350.0,25.0,4.57
0.2,350.0,30.0,4.46
0.2,350.0,35.0,4.34
0.2,350.0,40.0,4.23
0.2,350.0,45.0,4.12
0.2,350.0,50.0,4.0
0.2,350.0,55.0,3.89
0.2,350.0,60.0,3.78
0.2,350.0,65.0,3.66
0.2,350.0,70.0,3.55
0.2,350.0,75.0,3.44
0.2,350.0,80.0,3.32
0.2,400.0,0.001,5.18
0.2,400.0,5.0,5.07
0.2,400.0,10.0,4.95
0.2,400.0,15.0,4.84
0.2,400.0,20.0,4.73
0.2,400.0,25.0,4.61
0.2,400.0,30.0,4.5
0.2,400.0,35.0,4.39
0.2,400.0,40.0,4.27
0.2,400.0,45.0,4.16
0.2,400.0,50.0,4.05
0.2,400.0,55.0,3.93
0.2,400.0,60.0,3.82
0.2,400.0,65.0,3.71
0.2,400.0,70.0,3.59
0.2,400.0,75.0,3.48
0.2,400.0,80.0,3.37
0.2,450.0,0.001,5.21
0.2,450.0,5.0,5.1
0.2,450.0,10.0,4.99
0.2,450.0,15.0,4.87
0.2,450.0,20.0,4.76
0.2,450.0,25.0,4.65
0.2,450.0,30.0,4.54
0.2,450.0,35.0,4.42
0.2,450.0,40.0,4.31
0.2,450.0,45.0,4.2
0.2,450.0,50.0,4.08
0.2,450.0,55.0,3.97
0.2,450.0,60.0,3.86
0.2,450.0,65.0,3.75
0.2,450.0,70.0,3.63
0.2,450.0,75.0,3.52
0.2,450.0,80.0,3.41
0.2,500.0,0.001,5.24
0.2,500.0,5.0,5.13
0.2,500.0,10.0,5.02
0.2,500.0,15.0,4.9
0.2,500.0,20.0,4.79
0.2,500.0,25.0,4.68
0.2,500.0,30.0,4.57
0.2,500.0,35.0,4.46
0.2,500.0,40.0,4.34
0.2,500.0,45.0,4.23
0.2,500.0,50.0,4.12
0.2,500.0,55.0,4.01
0.2,500.0,60.0,3.89
0.2,500.0,65.0,3.78
0.2,500.0,70.0,3.67
0.2,500.0,75.0,3.56
0.2,500.0,80.0,3.44
0.2,550.0,0.001,5.27
0.2,550.0,5.0,5.16
0.2,550.0,10.0,5.04
0.2,550.0,15.0,4.93
0.2,550.0,20.0,4.82
0.2,550.0,25.0,4.71
0.2,550.0,30.0,4.6
0.2,550.0,35.0,4.48
0.2,550.0,40.0,4.37
0.2,550.0,45.0,4.26
0.2,550.0,50.0,4.15
0.2,550.0,55.0,4.04
0.2,550.0,60.0,3.92
0.2,550.0,65.0,3.81
0.2,550.0,70.0,3.7
0.2,550.0,75.0,3.59
0.2,550.0,80.0,3.48
0.2,600.0,0.001,5.29
0.2,600.0,5.0,5.18
0.2,600.0,10.0,5.07
0.2,600.0,15.0,4.96
0.2,600.0,20.0,4.85
0.2,600.0,25.0,4.73
0.2,600.0,30.0,4.62
0.2,600.0,35.0,4.51
0.2,600.0,40.0,4.4
0.2,600.0,45.0,4.29
0.2,600.0,50.0,4.18
0.2,600.0,55.0,4.06
0.2,600.0,60.0,3.95
0.2,600.0,65.0,3.84
0.2,600.0,70.0,3.73
0.2,600.0,75.0,3.62
0.2,600.0,80.0,3.51
0.2,650.0,0.001,5.31
0.2,650.0,5.0,5.2
0.2,650.0,10.0,5.09
0.2,650.0,15.0,4.98
0.2,650.0,20.0,4.87
0.2,650.0,25.0,4.76
0.2,650.0,30.0,4.65
0.2,650.0,35.0,4.53
0.2,650.0,40.0,4.42
0.2,650.0,45.0,4.31
0.2,650.0,50.0,4.2
0.2,650.0,55.0,4.09
0.2,650.0,60.0,3.98
0.2,650.0,65.0,3.87
0.2,650.0,70.0,3.75
0.2,650.0,75.0,3.64
0.2,650.0,80.0,3.53
0.2,700.0,0.001,5.33
0.2,700.0,5.0,5.22
0.2,700.0,10.0,5.11
0.2,700.0,15.0,5.0
0.2,700.0,20.0,4.89
0.2,700.0,25.0,4.78
0.2,700.0,30.0,4.67
0.2,700.0,35.0,4.56
0.2,700.0,40.0,4.45
0.2,700.0,45.0,4.33
0.2,700.0,50.0,4.22
0.2,700.0,55.0,4.11
0.2,700.0,60.0,4.0
0.2,700.0,65.0,3.89
0.2,700.0,70.0,3.78
0.2,700.0,75.0,3.67
0.2,700.0,80.0,3.56
0.2,750.0,0.001,5.35
0.2,750.0,5.0,5.24
0.2,750.0,10.0,5.13
0.2,750.0,15.0,5.02
0.2,750.0,20.0,4.91
0.2,750.0,25.0,4.8
0.2,750.0,30.0,4.69
0.2,750.0,35.0,4.58
0.2,750.0,40.0,4.47
0.2,750.0,45.0,4.35
0.2,750.0,50.0,4.24
0.2,750.0,55.0,4.13
0.2,750.0,60.0,4.02
0.2,750.0,65.0,3.91
0.2,750.0,70.0,3.8
0.2,750.0,75.0,3.69
0.2,750.0,80.0,3.58
0.2,800.0,0.001,5.37
0.2,800.0,5.0,5.26
0.2,800.0,10.0,5.15
0.2,800.0,15.0,5.04
0.2,800.0,20.0,4.93
0.2,800.0,25.0,4.82
0.2,800.0,30.0,4.71
0.2,800.0,35.0,4.6
0.2,800.0,40.0,4.48
0.2,800.0,45.0,4.37
0.2,800.0,50.0,4.26
0.2,800.0,55.0,4.15
0.2,800.0,60.0,4.04
0.2,800.0,65.0,3.93
0.2,800.0,70.0,3.82
0.2,800.0,75.0,3.71
0.2,800.0,80.0,3.6
0.2,850.0,0.001,5.39
0.2,850.0,5.0,5.28
0.2,850.0,10.0,5.17
0.2,850.0,15.0,5.05
0.2,850.0,20.0,4.94
0.2,850.0,25.0,4.83
0.2,850.0,30.0,4.72
0.2,850.0,35.0,4.61
0.2,850.0,40.0,4.5
0.2,850.0,45.0,4.39
0.2,850.0,50.0,4.28
0.2,850.0,55.0,4.17
0.2,850.0,60.0,4.06
0.2,850.0,65.0,3.95
0.2,850.0,70.0,3.84
0.2,850.0,75.0,3.73
0.2,850.0,80.0,3.62
0.2,900.0,0.001,5.4
0.2,900.0,5.0,5.29
0.2,900.0,10.0,5.18
0.2,900.0,15.0,5.07
0.2,900.0,20.0,4.96
0.2,900.0,25.0,4.85
0.2,900.0,30.0,4.74
0.2,900.0,35.0,4.63
0.2,900.0,40.0,4.52
0.2,900.0,45.0,4.41
0.2,900.0,50.0,4.3
0.2,900.0,55.0,4.19
0.2,900.0,60.0,4.08
0.2,900.0,65.0,3.97
0.2,900.0,70.0,3.86
0.2,900.0,75.0,3.75
0.2,900.0,80.0,3.64
0.2,950.0,0.001,5.41
0.2,950.0,5.0,5.3
0.2,950.0,10.0,5.19
0.2,950.0,15.0,5.08
0.2,950.0,20.0,4.97
0.2,950.0,25.0,4.86
0.2,950.0,30.0,4.75
0.2,950.0,35.0,4.64
0.2,950.0,40.0,4.53
0.2,950.0,45.0,4.42
0.2,950.0,50.0,4.31
0.2,950.0,55.0,4.21
0.2,950.0,60.0,4.1
0.2,950.0,65.0,3.99
0.2,950.0,70.0,3.88
0.2,950.0,75.0,3.77
0.2,950.0,80.0,3.66
0.2,1000.0,0.001,5.43
0.2,1000.0,5.0,5.32
0.2,1000.0,10.0,5.21
0.2,1000.0,15.0,5.1
0.2,1000.0,20.0,4.99
0.2,1000.0,25.0,4.88
0.2,1000.0,30.0,4.77
0.2,1000.0,35.0,4.66
0.2,1000.0,40.0,4.55
0.2,1000.0,45.0,4.44
0.2,1000.0,50.0,4.33
0.2,1000.0,55.0,4.22
0.2,1000.0,60.0,4.11
0.2,1000.0,65.0,4.0
0.2,1000.0,70.0,3.89
0.2,1000.0,75.0,3.78
0.2,1000.0,80.0,3.67
0.3,0.001,0.001,0.09
0.3,0.001,5.0,0.09
0.3,0.001,10.0,0.09
0.3,0.001,15.0,0.09
0.3,0.001,20.0,0.09
0.3,0.001,25.0,0.09
0.3,0.001,30.0,0.09
0.3,0.001,35.0,0.09
0.3,0.001,40.0,0.09
0.3,0.001,45.0,0.09
0.3,0.001,50.0,0.09
0.3,0.001,55.0,0.09
0.3,0.001,60.0,0.09
0.3,0.001,65.0,0.09
0.3,0.001,70.0,0.09
0.3,0.001,75.0,0.09
0.3,0.001,80.0,0.08
0.3,50.0,0.001,3.0
0.3,50.0,5.0,2.95
0.3,50.0,10.0,2.89
0.3,50.0,15.0,2.82
0.3,50.0,20.0,2.75
0.3,50.0,25.0,2.67
0.3,50.0,30.0,2.58
0.3,50.0,35.0,2.49
0.3,50.0,40.0,2.4
0.3,50.0,45.0,2.3
0.3,50.0,50.0,2.2
0.3,50.0,55.0,2.1
0.3,50.0,60.0,2.0
0.3,50.0,65.0,1.9
0.3,50.0,70.0,1.8
0.3,50.0,75.0,1.69
0.3,50.0,80.0,1.59
0.3,100.0,0.001,3.7
0.3,100.0,5.0,3.58
0.3,100.0,10.0,3.47
0.3,100.0,15.0,3.36
0.3,100.0,20.0,3.25
0.3,100.0,25.0,3.13
0.3,100.0,30.0,3.02
0.3,100.0,35.0,2.91
0.3,100.0,40.0,2.79
0.3,100.0,45.0,2.68
0.3,100.0,50.0,2.57
0.3,100.0,55.0,2.45
0.3,100.0,60.0,2.34
0.3,100.0,65.0,2.23
0.3,100.0,70.0,2.11
0.3,100.0,75.0,2.0
0.3,100.0,80.0,1.89
0.3,150.0,0.001,3.88
0.3,150.0,5.0,3.76
0.3,150.0,10.0,3.65
0.3,150.0,15.0,3.53
0.3,150.0,20.0,3.42
0.3,150.0,25.0,3.3
0.3,150.0,30.0,3.19
0.3,150.0,35.0,3.07
0.3,150.0,40.0,2.96
0.3,150.0,45.0,2.84
0.3,150.0,50.0,2.73
0.3,150.0,55.0,2.61
0.3,150.0,60.0,2.5
0.3,150.0,65.0,2.39
0.3,150.0,70.0,2.27
0.3,150.0,75.0,2.16
0.3,150.0,80.0,2.04
0.3,200.0,0.001,3.98
0.3,200.0,5.0,3.87
0.3,200.0,10.0,3.75
0.3,200.0,15.0,3.64
0.3,200.0,20.0,3.52
0.3,200.0,25.0,3.41
0.3,200.0,30.0,3.29
0.3,200.0,35.0,3.18
0.3,200.0,40.0,3.06
0.3,200.0,45.0,2.95
0.3,200.0,50.0,2.83
0.3,200.0,55.0,2.72
0.3,200.0,60.0,2.6
0.3,200.0,65.0,2.49
0.3,200.0,70.0,2.37
0.3,200.0,75.0,2.26
0.3,200.0,80.0,2.15
0.3,250.0,0.001,4.05
0.3,250.0,5.0,3.94
0.3,250.0,10.0,3.82
0.3,250.0,15.0,3.71
0.3,250.0,20.0,3.59
0.3,250.0,25.0,3.48
0.3,250.0,30.0,3.37
0.3,250.0,35.0,3.25
0.3,250.0,40.0,3.14
0.3,250.0,45.0,3.02
0.3,250.0,50.0,2.91
0.3,250.0,55.0,2.79
0.3,250.0,60.0,2.68
0.3,250.0,65.0,2.57
0.3,250.0,70.0,2.45
0.3,250.0,75.0,2.34
0.3,250.0,80.0,2.22
0.3,300.0,0.001,4.11
0.3,300.0,5.0,3.99
0.3,300.0,10.0,3.88
0.3,300.0,15.0,3.77
0.3,300.0,20.0,3.65
0.3,300.0,25.0,3.54
0.3,300.0,30.0,3.42
0.3,300.0,35.0,3.31
0.3,300.0,40.0,3.2
0.3,300.0,45.0,3.08
0.3,300.0,50.0,2.97
0.3,300.0,55.0,2.85
0.3,300.0,60.0,2.74
0.3,300.0,65.0,2.63
0.3,300.0,70.0,2.51
0.3,300.0,75.0,2.4
0.3,300.0,80.0,2.29
0.3,350.0,0.001,4.15
0.3,350.0,5.0,4.04
0.3,350.0,10.0,3.93
0.3,350.0,15.0,3.81
0.3,350.0,20.0,3.7
0.3,350.0,25.0,3.58
0.3,350.0,30.0,3.47
0.3,350.0,35.0,3.36
0.3,350.0,40.0,3.24
0.3,350.0,45.0,3.13
0.3,350.0,50.0,3.02
0.3,350.0,55.0,2.9
0.3,350.0,60.0,2.79
0.3,350.0,65.0,2.68
0.3,350.0,70.0,2.56
0.3,350.0,75.0,2.45
0.3,350.0,80.0,2.34
0.3,400.0,0.001,4.19
0.3,400.0,5.0,4.08
0.3,400.0,10.0,3.96
0.3,400.0,15.0,3.85
0.3,400.0,20.0,3.74
0.3,400.0,25.0,3.62
0.3,400.0,30.0,3.51
0.3,400.0,35.0,3.4
0.3,400.0,40.0,3.29
0.3,400.0,45.0,3.17
0.3,400.0,50.0,3.06
0.3,400.0,55.0,2.95
0.3,400.0,60.0,2.83
0.3,400.0,65.0,2.72
0.3,400.0,70.0,2.61
0.3,400.0,75.0,2.5
0.3,400.0,80.0,2.38
0.3,450.0,0.001,4.22
0.3,450.0,5.0,4.11
0.3,450.0,10.0,4.0
0.3,450.0,15.0,3.88
0.3,450.0,20.0,3.77
0.3,450.0,25.0,3.66
0.3,450.0,30.0,3.55
0.3,450.0,35.0,3.43
0.3,450.0,40.0,3.32
0.3,450.0,45.0,3.21
0.3,450.0,50.0,3.1
0.3,450.0,55.0,2.98
0.3,450.0,60.0,2.87
0.3,450.0,65.0,2.76
0.3,450.0,70.0,2.65
0.3,450.0,75.0,2.53
0.3,450.0,80.0,2.42
0.3,500.0,0.001,4.25
0.3,500.0,5.0,4.14
0.3,500.0,10.0,4.03
0.3,500.0,15.0,3.91
0.3,500.0,20.0,3.8
0.3,500.0,25.0,3.69
0.3,500.0,30.0,3.58
0.3,500.0,35.0,3.47
0.3,500.0,40.0,3.35
0.3,500.0,45.0,3.24
0.3,500.0,50.0,3.13
0.3,500.0,55.0,3.02
0.3,500.0,60.0,2.9
0.3,500.0,65.0,2.79
0.3,500.0,70.0,2.68
0.3,500.0,75.0,2.57
0.3,500.0,80.0,2.46
0.3,550.0,0.001,4.28
0.3,550.0,5.0,4.17
0.3,550.0,10.0,4.05
0.3,550.0,15.0,3.94
0.3,550.0,20.0,3.83
0.3,550.0,25.0,3.72
0.3,550.0,30.0,3.61
0.3,550.0,35.0,3.49
0.3,550.0,40.0,3.38
0.3,550.0,45.0,3.27
0.3,550.0,50.0,3.16
0.3,550.0,55.0,3.05
0.3,550.0,60.0,2.93
0.3,550.0,65.0,2.82
0.3,550.0,70.0,2.71
0.3,550.0,75.0,2.6
0.3,550.0,80.0,2.49
0.3,600.0,0.001,4.3
0.3,600.0,5.0,4.19
0.3,600.0,10.0,4.08
0.3,600.0,15.0,3.97
0.3,600.0,20.0,3.85
0.3,600.0,25.0,3.74
0.3,600.0,30.0,3.63
0.3,600.0,35.0,3.52
0.3,600.0,40.0,3.41
0.3,600.0,45.0,3.3
0.3,600.0,50.0,3.18
0.3,600.0,55.0,3.07
0.3,600.0,60.0,2.96
0.3,600.0,65.0,2.85
0.3,600.0,70.0,2.74
0.3,600.0,75.0,2.63
0.3,600.0,80.0,2.51
0.3,650.0,0.001,4.32
0.3,650.0,5.0,4.21
0.3,650.0,10.0,4.1
0.3,650.0,15.0,3.99
0.3,650.0,20.0,3.88
0.3,650.0,25.0,3.76
0.3,650.0,30.0,3.65
0.3,650.0,35.0,3.54
0.3,650.0,40.0,3.43
0.3,650.0,45.0,3.32
0.3,650.0,50.0,3.21
0.3,650.0,55.0,3.1
0.3,650.0,60.0,2.99
0.3,650.0,65.0,2.87
0.3,650.0,70.0,2.76
0.3,650.0,75.0,2.65
0.3,650.0,80.0,2.54
0.3,700.0,0.001,4.34
0.3,700.0,5.0,4.23
0.3,700.0,10.0,4.12
0.3,700.0,15.0,4.01
0.3,700.0,20.0,3.9
0.3,700.0,25.0,3.79
0.3,700.0,30.0,3.67
0.3,700.0,35.0,3.56
0.3,700.0,40.0,3.45
0.3,700.0,45.0,3.34
0.3,700.0,50.0,3.23
0.3,700.0,55.0,3.12
0.3,700.0,60.0,3.01
0.3,700.0,65.0,2.9
0.3,700.0,70.0,2.79
0.3,700.0,75.0,2.67
0.3,700.0,80.0,2.56
0.3,750.0,0.001,4.36
0.3,750.0,5.0,4.25
0.3,750.0,10.0,4.14
0.3,750.0,15.0,4.03
0.3,750.0,20.0,3.92
0.3,750.0,25.0,3.8
0.3,750.0,30.0,3.69
0.3,750.0,35.0,3.58
0.3,750.0,40.0,3.47
0.3,750.0,45.0,3.36
0.3,750.0,50.0,3.25
0.3,750.0,55.0,3.14
0.3,750.0,60.0,3.03
0.3,750.0,65.0,2.92
0.3,750.0,70.0,2.81
0.3,750.0,75.0,2.7
0.3,750.0,80.0,2.59
0.3,800.0,0.001,4.38
0.3,800.0,5.0,4.26
0.3,800.0,10.0,4.15
0.3,800.0,15.0,4.04
0.3,800.0,20.0,3.93
0.3,800.0,25.0,3.82
0.3,800.0,30.0,3.71
0.3,800.0,35.0,3.6
0.3,800.0,40.0,3.49
0.3,800.0,45.0,3.38
0.3,800.0,50.0,3.27
0.3,800.0,55.0,3.16
0.3,800.0,60.0,3.05
0.3,800.0,65.0,2.94
0.3,800.0,70.0,2.83
0.3,800.0,75.0,2.72
0.3,800.0,80.0,2.61
0.3,850.0,0.001,4.39
0.3,850.0,5.0,4.28
0.3,850.0,10.0,4.17
0.3,850.0,15.0,4.06
0.3,850.0,20.0,3.95
0.3,850.0,25.0,3.84
0.3,850.0,30.0,3.73
0.3,850.0,35.0,3.62
0.3,850.0,40.0,3.51
0.3,850.0,45.0,3.4
0.3,850.0,50.0,3.29
0.3,850.0,55.0,3.18
0.3,850.0,60.0,3.07
0.3,850.0,65.0,2.96
0.3,850.0,70.0,2.85
0.3,850.0,75.0,2.74
0.3,850.0,80.0,2.63
0.3,900.0,0.001,4.41
0.3,900.0,5.0,4.3
0.3,900.0,10.0,4.19
0.3,900.0,15.0,4.08
0.3,900.0,20.0,3.96
0.3,900.0,25.0,3.85
0.3,900.0,30.0,3.74
0.3,900.0,35.0,3.63
0.3,900.0,40.0,3.52
0.3,900.0,45.0,3.41
0.3,900.0,50.0,3.3
0.3,900.0,55.0,3.19
0.3,900.0,60.0,3.08
0.3,900.0,65.0,2.97
0.3,900.0,70.0,2.86
0.3,900.0,75.0,2.75
0.3,900.0,80.0,2.64
0.3,950.0,0.001,4.42
0.3,950.0,5.0,4.31
0.3,950.0,10.0,4.2
0.3,950.0,15.0,4.09
0.3,950.0,20.0,3.98
0.3,950.0,25.0,3.87
0.3,950.0,30.0,3.76
0.3,950.0,35.0,3.65
0.3,950.0,40.0,3.54
0.3,950.0,45.0,3.43
0.3,950.0,50.0,3.32
0.3,950.0,55.0,3.21
0.3,950.0,60.0,3.1
0.3,950.0,65.0,2.99
0.3,950.0,70.0,2.88
0.3,950.0,75.0,2.77
0.3,950.0,80.0,2.66
0.3,1000.0,0.001,4.43
0.3,1000.0,5.0,4.32
0.3,1000.0,10.0,4.21
0.3,1000.0,15.0,4.1
0.3,1000.0,20.0,3.99
0.3,1000.0,25.0,3.88
0.3,1000.0,30.0,3.77
0.3,1000.0,35.0,3.66
0.3,1000.0,40.0,3.55
0.3,1000.0,45.0,3.44
0.3,1000.0,50.0,3.34
0.3,1000.0,55.0,3.23
0.3,1000.0,60.0,3.12
0.3,1000.0,65.0,3.01
0.3,1000.0,70.0,2.9
0.3,1000.0,75.0,2.79
0.3,1000.0,80.0,2.68
0.4,0.001,0.001,0.12
0.4,0.001,5.0,0.12
0.4,0.001,10.0,0.12
0.4,0.001,15.0,0.12
0.4,0.001,20.0,0.12
0.4,0.001,25.0,0.12
0.4,0.001,30.0,0.12
0.4,0.001,35.0,0.12
0.4,0.001,40.0,0.11
0.4,0.001,45.0,0.11
0.4,0.001,50.0,0.1
0.4,0.001,55.0,0.09
0.4,0.001,60.0,0.07
0.4,0.001,65.0,0.05
0.4,0.001,70.0,0.02
0.4,0.001,75.0,0.01
0.4,0.001,80.0,0.01
0.4,50.0,0.001,2.41
0.4,50.0,5.0,2.32
0.4,50.0,10.0,2.22
0.4,50.0,15.0,2.11
0.4,50.0,20.0,2.01
0.4,50.0,25.0,1.91
0.4,50.0,30.0,1.8
0.4,50.0,35.0,1.7
0.4,50.0,40.0,1.59
0.4,50.0,45.0,1.48
0.4,50.0,50.0,1.37
0.4,50.0,55.0,1.26
0.4,50.0,60.0,1.15
0.4,50.0,65.0,1.05
0.4,50.0,70.0,0.94
0.4,50.0,75.0,0.83
0.4,50.0,80.0,0.71
0.4,100.0,0.001,2.77
0.4,100.0,5.0,2.66
0.4,100.0,10.0,2.54
0.4,100.0,15.0,2.43
0.4,100.0,20.0,2.32
0.4,100.0,25.0,2.2
0.4,100.0,30.0,2.09
0.4,100.0,35.0,1.97
0.4,100.0,40.0,1.86
0.4,100.0,45.0,1.75
0.4,100.0,50.0,1.63
0.4,100.0,55.0,1.52
0.4,100.0,60.0,1.4
0.4,100.0,65.0,1.29
0.4,100.0,70.0,1.17
0.4,100.0,75.0,1.06
0.4,100.0,80.0,0.95
0.4,150.0,0.001,2.92
0.4,150.0,5.0,2.8
0.4,150.0,10.0,2.69
0.4,150.0,15.0,2.57
0.4,150.0,20.0,2.46
0.4,150.0,25.0,2.34
0.4,150.0,30.0,2.23
0.4,150.0,35.0,2.11
0.4,150.0,40.0,2.0
0.4,150.0,45.0,1.88
0.4,150.0,50.0,1.77
0.4,150.0,55.0,1.65
0.4,150.0,60.0,1.54
0.4,150.0,65.0,1.42
0.4,150.0,70.0,1.31
0.4,150.0,75.0,1.19
0.4,150.0,80.0,1.08
0.4,200.0,0.001,3.01
0.4,200.0,5.0,2.89
0.4,200.0,10.0,2.78
0.4,200.0,15.0,2.66
0.4,200.0,20.0,2.55
0.4,200.0,25.0,2.43
0.4,200.0,30.0,2.32
0.4,200.0,35.0,2.2
0.4,200.0,40.0,2.09
0.4,200.0,45.0,1.97
0.4,200.0,50.0,1.86
0.4,200.0,55.0,1.75
0.4,200.0,60.0,1.63
0.4,200.0,65.0,1.52
0.4,200.0,70.0,1.4
0.4,200.0,75.0,1.29
0.4,200.0,80.0,1.17
0.4,250.0,0.001,3.07
0.4,250.0,5.0,2.96
0.4,250.0,10.0,2.84
0.4,250.0,15.0,2.73
0.4,250.0,20.0,2.61
0.4,250.0,25.0,2.5
0.4,250.0,30.0,2.39
0.4,250.0,35.0,2.27
0.4,250.0,40.0,2.16
0.4,250.0,45.0,2.04
0.4,250.0,50.0,1.93
0.4,250.0,55.0,1.82
0.4,250.0,60.0,1.7
0.4,250.0,65.0,1.59
0.4,250.0,70.0,1.47
0.4,250.0,75.0,1.36
0.4,250.0,80.0,1.25
0.4,300.0,0.001,3.12
0.4,300.0,5.0,3.01
0.4,300.0,10.0,2.9
0.4,300.0,15.0,2.78
0.4,300.0,20.0,2.67
0.4,300.0,25.0,2.55
0.4,300.0,30.0,2.44
0.4,300.0,35.0,2.33
0.4,300.0,40.0,2.21
0.4,300.0,45.0,2.1
0.4,300.0,50.0,1.99
0.4,300.0,55.0,1.87
0.4,300.0,60.0,1.76
0.4,300.0,65.0,1.64
0.4,300.0,70.0,1.53
0.4,300.0,75.0,1.42
0.4,300.0,80.0,1.3
0.4,350.0,0.001,3.17
0.4,350.0,5.0,3.05
0.4,350.0,10.0,2.94
0.4,350.0,15.0,2.83
0.4,350.0,20.0,2.71
0.4,350.0,25.0,2.6
0.4,350.0,30.0,2.49
0.4,350.0,35.0,2.37
0.4,350.0,40.0,2.26
0.4,350.0,45.0,2.15
0.4,350.0,50.0,2.03
0.4,350.0,55.0,1.92
0.4,350.0,60.0,1.81
0.4,350.0,65.0,1.69
0.4,350.0,70.0,1.58
0.4,350.0,75.0,1.47
0.4,350.0,80.0,1.35
0.4,400.0,0.001,3.2
0.4,400.0,5.0,3.09
0.4,400.0,10.0,2.98
0.4,400.0,15.0,2.86
0.4,400.0,20.0,2.75
0.4,400.0,25.0,2.64
0.4,400.0,30.0,2.52
0.4,400.0,35.0,2.41
0.4,400.0,40.0,2.3
0.4,400.0,45.0,2.18
0.4,400.0,50.0,2.07
0.4,400.0,55.0,1.96
0.4,400.0,60.0,1.85
0.4,400.0,65.0,1.73
0.4,400.0,70.0,1.62
0.4,400.0,75.0,1.51
0.4,400.0,80.0,1.4
0.4,450.0,0.001,3.23
0.4,450.0,5.0,3.12
0.4,450.0,10.0,3.01
0.4,450.0,15.0,2.9
0.4,450.0,20.0,2.78
0.4,450.0,25.0,2.67
0.4,450.0,30.0,2.56
0.4,450.0,35.0,2.44
0.4,450.0,40.0,2.33
0.4,450.0,45.0,2.22
0.4,450.0,50.0,2.11
0.4,450.0,55.0,1.99
0.4,450.0,60.0,1.88
0.4,450.0,65.0,1.77
0.4,450.0,70.0,1.66
0.4,450.0,75.0,1.54
0.4,450.0,80.0,1.43
0.4,500.0,0.001,3.26
0.4,500.0,5.0,3.15
0.4,500.0,10.0,3.04
0.4,500.0,15.0,2.92
0.4,500.0,20.0,2.81
0.4,500.0,25.0,2.7
0.4,500.0,30.0,2.59
0.4,500.0,35.0,2.47
0.4,500.0,40.0,2.36
0.4,500.0,45.0,2.25
